
CondaError: Run 'conda init' before 'conda activate'

[GPU 0] Subsets 1-4 (4 tasks)

>>>>>>>>>> [GPU 0] (1/4) actions-zzid2-zb1hq-fsod-amih <<<<<<<<<<
/home/chenzhigang/anaconda3/envs/sam3/lib/python3.12/site-packages/torch/backends/__init__.py:46: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  self.setter(val)
17:39:43 [INFO] ============================================================
17:39:43 [INFO] RF20VL Few-Shot Object Detection — Inference
17:39:43 [INFO] ============================================================
17:39:43 [INFO] Arguments: {'data_path': './data', 'split': 'test', 'subset': 'actions-zzid2-zb1hq-fsod-amih', 'device': 'cuda', 'nms_iou': 0.8, 'output_json': None, 'debug': False, 'no_vis': False}
17:39:43 [INFO] Loading Sam3Segmenter on cuda ...
17:40:08 [INFO] Model loaded in 25.10 s
17:40:08 [INFO] Found 1 subset(s): ['actions-zzid2-zb1hq-fsod-amih']
17:40:08 [INFO] Dataset loaded: subset=actions-zzid2-zb1hq-fsod-amih, samples=726, categories={1: 'Attack', 2: 'Block', 3: 'Defense', 4: 'Serve', 5: 'Set', 6: 'ball'} (0.21 s)
17:40:16 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 1/726 | category=Attack | supports=10 | candidates=28 | visual=30 tv=25 text=0 | 7.01 s
17:40:21 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 2/726 | category=Attack | supports=10 | candidates=15 | visual=15 tv=15 text=0 | 5.38 s
17:40:27 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 3/726 | category=Attack | supports=10 | candidates=15 | visual=13 tv=13 text=0 | 5.33 s
17:40:33 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 4/726 | category=Attack | supports=10 | candidates=17 | visual=18 tv=17 text=0 | 5.49 s
17:40:38 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 5/726 | category=Attack | supports=10 | candidates=14 | visual=14 tv=13 text=0 | 5.26 s
17:40:44 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 6/726 | category=Attack | supports=10 | candidates=19 | visual=20 tv=20 text=0 | 5.68 s
17:40:50 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 7/726 | category=Attack | supports=10 | candidates=16 | visual=16 tv=16 text=0 | 5.44 s
17:40:56 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 8/726 | category=Attack | supports=10 | candidates=19 | visual=17 tv=16 text=0 | 5.72 s
17:41:03 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 9/726 | category=Attack | supports=10 | candidates=28 | visual=32 tv=30 text=0 | 6.33 s
17:41:08 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 10/726 | category=Attack | supports=10 | candidates=11 | visual=12 tv=11 text=0 | 5.06 s
17:41:14 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 11/726 | category=Attack | supports=10 | candidates=17 | visual=16 tv=16 text=0 | 5.53 s
17:41:20 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 12/726 | category=Attack | supports=10 | candidates=15 | visual=15 tv=15 text=0 | 5.37 s
17:41:25 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 13/726 | category=Attack | supports=10 | candidates=13 | visual=14 tv=13 text=0 | 5.21 s
17:41:31 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 14/726 | category=Attack | supports=10 | candidates=22 | visual=21 tv=19 text=0 | 5.87 s
17:41:37 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 15/726 | category=Attack | supports=10 | candidates=19 | visual=22 tv=19 text=0 | 5.63 s
17:41:43 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 16/726 | category=Attack | supports=10 | candidates=17 | visual=19 tv=17 text=0 | 5.48 s
17:41:48 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 17/726 | category=Attack | supports=10 | candidates=13 | visual=16 tv=13 text=0 | 5.21 s
17:41:54 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 18/726 | category=Attack | supports=10 | candidates=19 | visual=18 tv=16 text=0 | 5.63 s
17:42:00 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 19/726 | category=Attack | supports=10 | candidates=16 | visual=17 tv=16 text=0 | 5.41 s
17:42:06 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 20/726 | category=Attack | supports=10 | candidates=16 | visual=15 tv=15 text=0 | 5.43 s
17:42:11 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 21/726 | category=Attack | supports=10 | candidates=12 | visual=12 tv=12 text=0 | 5.13 s
