
CondaError: Run 'conda init' before 'conda activate'

[GPU 3] Subsets 13-16 (4 tasks)

>>>>>>>>>> [GPU 3] (1/4) recode-waste-czvmg-fsod-yxsw <<<<<<<<<<
/home/chenzhigang/anaconda3/envs/sam3/lib/python3.12/site-packages/torch/backends/__init__.py:46: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  self.setter(val)
17:39:43 [INFO] ============================================================
17:39:43 [INFO] RF20VL Few-Shot Object Detection — Inference
17:39:43 [INFO] ============================================================
17:39:43 [INFO] Arguments: {'data_path': './data', 'split': 'test', 'subset': 'recode-waste-czvmg-fsod-yxsw', 'device': 'cuda', 'nms_iou': 0.8, 'output_json': None, 'debug': False, 'no_vis': False}
17:39:43 [INFO] Loading Sam3Segmenter on cuda ...
17:40:04 [INFO] Model loaded in 21.42 s
17:40:04 [INFO] Found 1 subset(s): ['recode-waste-czvmg-fsod-yxsw']
17:40:05 [INFO] Dataset loaded: subset=recode-waste-czvmg-fsod-yxsw, samples=1421, categories={1: 'aggregate', 2: 'cardboard', 3: 'hard plastic', 4: 'metal', 5: 'soft plastic', 6: 'timber'} (0.34 s)
17:40:11 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 1/1421 | category=aggregate | supports=2 | candidates=49 | visual=60 tv=60 text=0 | 6.27 s
17:40:15 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 2/1421 | category=aggregate | supports=2 | candidates=26 | visual=32 tv=31 text=0 | 3.66 s
17:40:19 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 3/1421 | category=aggregate | supports=2 | candidates=37 | visual=40 tv=39 text=0 | 4.48 s
17:40:23 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 4/1421 | category=aggregate | supports=2 | candidates=24 | visual=38 tv=35 text=0 | 3.53 s
17:40:26 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 5/1421 | category=aggregate | supports=2 | candidates=22 | visual=25 tv=24 text=0 | 3.35 s
17:40:31 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 6/1421 | category=aggregate | supports=2 | candidates=41 | visual=46 tv=47 text=0 | 4.79 s
17:40:37 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 7/1421 | category=aggregate | supports=2 | candidates=50 | visual=57 tv=56 text=0 | 5.51 s
17:40:40 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 8/1421 | category=aggregate | supports=2 | candidates=24 | visual=26 tv=26 text=0 | 3.57 s
17:40:46 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 9/1421 | category=aggregate | supports=2 | candidates=50 | visual=53 tv=52 text=0 | 5.51 s
17:40:50 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 10/1421 | category=aggregate | supports=2 | candidates=35 | visual=44 tv=42 text=0 | 4.42 s
17:40:54 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 11/1421 | category=aggregate | supports=2 | candidates=27 | visual=37 tv=37 text=0 | 3.87 s
17:41:00 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 12/1421 | category=aggregate | supports=2 | candidates=45 | visual=51 tv=49 text=0 | 5.17 s
17:41:05 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 13/1421 | category=aggregate | supports=2 | candidates=41 | visual=46 tv=46 text=0 | 4.90 s
17:41:08 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 14/1421 | category=aggregate | supports=2 | candidates=25 | visual=30 tv=29 text=0 | 3.63 s
17:41:14 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 15/1421 | category=aggregate | supports=2 | candidates=48 | visual=53 tv=51 text=0 | 5.42 s
17:41:18 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 16/1421 | category=aggregate | supports=2 | candidates=36 | visual=43 tv=41 text=0 | 4.51 s
17:41:23 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 17/1421 | category=aggregate | supports=2 | candidates=38 | visual=42 tv=41 text=0 | 4.70 s
17:41:28 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 18/1421 | category=aggregate | supports=2 | candidates=43 | visual=49 tv=47 text=0 | 5.07 s
17:41:32 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 19/1421 | category=aggregate | supports=2 | candidates=30 | visual=34 tv=35 text=0 | 4.04 s
17:41:36 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 20/1421 | category=aggregate | supports=2 | candidates=27 | visual=29 tv=29 text=0 | 3.78 s
17:41:40 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 21/1421 | category=aggregate | supports=2 | candidates=31 | visual=38 tv=39 text=0 | 4.09 s
17:41:45 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 22/1421 | category=aggregate | supports=2 | candidates=35 | visual=38 tv=37 text=0 | 4.40 s
17:41:50 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 23/1421 | category=aggregate | supports=2 | candidates=44 | visual=52 tv=50 text=0 | 5.08 s
17:41:53 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 24/1421 | category=aggregate | supports=2 | candidates=22 | visual=22 tv=22 text=0 | 3.38 s
17:41:57 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 25/1421 | category=aggregate | supports=2 | candidates=28 | visual=33 tv=33 text=0 | 3.87 s
17:42:00 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 26/1421 | category=aggregate | supports=2 | candidates=19 | visual=23 tv=26 text=0 | 3.17 s
17:42:05 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 27/1421 | category=aggregate | supports=2 | candidates=41 | visual=45 tv=43 text=0 | 4.81 s
17:42:10 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 28/1421 | category=aggregate | supports=2 | candidates=45 | visual=52 tv=50 text=0 | 5.12 s
17:42:15 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 29/1421 | category=aggregate | supports=2 | candidates=33 | visual=39 tv=37 text=0 | 4.26 s
