
CondaError: Run 'conda init' before 'conda activate'

[GPU 4] Subsets 17-20 (4 tasks)

>>>>>>>>>> [GPU 4] (1/4) water-meter-jbktv-7vz5k-fsod-ftoz <<<<<<<<<<
/home/chenzhigang/anaconda3/envs/sam3/lib/python3.12/site-packages/torch/backends/__init__.py:46: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  self.setter(val)
17:39:43 [INFO] ============================================================
17:39:43 [INFO] RF20VL Few-Shot Object Detection — Inference
17:39:43 [INFO] ============================================================
17:39:43 [INFO] Arguments: {'data_path': './data', 'split': 'test', 'subset': 'water-meter-jbktv-7vz5k-fsod-ftoz', 'device': 'cuda', 'nms_iou': 0.8, 'output_json': None, 'debug': False, 'no_vis': False}
17:39:43 [INFO] Loading Sam3Segmenter on cuda ...
17:40:08 [INFO] Model loaded in 25.07 s
17:40:08 [INFO] Found 1 subset(s): ['water-meter-jbktv-7vz5k-fsod-ftoz']
17:40:08 [INFO] Dataset loaded: subset=water-meter-jbktv-7vz5k-fsod-ftoz, samples=332, categories={1: '0', 2: '1', 3: '2', 4: '3', 5: '4', 6: '5', 7: '6', 8: '7', 9: '8', 10: '9'} (0.20 s)
17:40:13 [INFO] [water-meter-jbktv-7vz5k-fsod-ftoz] sample 1/332 | category=0 | supports=6 | candidates=14 | visual=14 tv=14 text=0 | 4.53 s
17:40:17 [INFO] [water-meter-jbktv-7vz5k-fsod-ftoz] sample 2/332 | category=0 | supports=6 | candidates=21 | visual=19 tv=17 text=0 | 4.38 s
17:40:21 [INFO] [water-meter-jbktv-7vz5k-fsod-ftoz] sample 3/332 | category=0 | supports=6 | candidates=9 | visual=10 tv=9 text=0 | 3.47 s
17:40:25 [INFO] [water-meter-jbktv-7vz5k-fsod-ftoz] sample 4/332 | category=0 | supports=6 | candidates=21 | visual=18 tv=16 text=0 | 4.38 s
17:40:30 [INFO] [water-meter-jbktv-7vz5k-fsod-ftoz] sample 5/332 | category=0 | supports=6 | candidates=26 | visual=26 tv=26 text=0 | 4.71 s
17:40:35 [INFO] [water-meter-jbktv-7vz5k-fsod-ftoz] sample 6/332 | category=0 | supports=6 | candidates=26 | visual=26 tv=25 text=0 | 4.72 s
17:40:39 [INFO] [water-meter-jbktv-7vz5k-fsod-ftoz] sample 7/332 | category=0 | supports=6 | candidates=20 | visual=20 tv=20 text=0 | 4.26 s
17:40:43 [INFO] [water-meter-jbktv-7vz5k-fsod-ftoz] sample 8/332 | category=0 | supports=6 | candidates=13 | visual=13 tv=13 text=0 | 3.77 s
17:40:47 [INFO] [water-meter-jbktv-7vz5k-fsod-ftoz] sample 9/332 | category=0 | supports=6 | candidates=24 | visual=24 tv=25 text=0 | 4.58 s
17:40:52 [INFO] [water-meter-jbktv-7vz5k-fsod-ftoz] sample 10/332 | category=0 | supports=6 | candidates=23 | visual=26 tv=24 text=0 | 4.52 s
17:40:57 [INFO] [water-meter-jbktv-7vz5k-fsod-ftoz] sample 11/332 | category=0 | supports=6 | candidates=35 | visual=36 tv=35 text=0 | 5.40 s
